hy	hij
hethiters	hethiet
helsche	helse
heerlijckheydt	heerlijkheid
heerlickste	heerlijkste
hebber	heb_er
harims	harim
harariter	harariet
handelaers	handelaars
hananeël	hananeel
halelu-jah	hallelujah
hagarenen	hagarenen
hadde’t	had
hadder	had_er
grouwen	gruwen
groeyen	groeien
griecksche	griekse
grauwe	grauwe
gorden	gorden
goetdadicheyt	goeddadigheid
godtsdienst	godsdienst
godtlicke	goddelijke
ginge	ging
gileaditen	gileadieten
giften	giften
gietse	giet_ze
gideons	gideon
ghevallen	gevallen
ghesien	gezien
gheopent	geopend
ghenade	genade
ghemaeckt	gemaakt
gheloove	geloof
geytenbocxken	geitenbokje
geyten-bocken	geitenbokken
gewrichte	gewricht
gewisse	gewisse
gewentelt	gewenteld
gewaeckt	gewaakt
gevolgt	gevolgd
gevolcht	gevolgd
gevoelt	gevoelt
geveynstheyt	geveinsdheid
getuyghde	getuigde
gethiters	gethiet
gethiter	gethiet
getergt	getergd
gesuriten	gezurieten
gestroyt	gestrooid
gestoelte	gestoelte
gestickt	gestikt
gespogen	gespogen
geslacht-rekeninge	geslachtsrekening
gescholden	gescholden
gesang	gezang
geresen	gerezen
geplundert	geplunderd
geploecht	geploegd
genoodicht	genodigd
geneygt	geneigd
genesende	genezende
genese	geneze
gemurmureert	gemurmureerd
gemengden	gemengden
gemaria	gemarja
geluystert	geluisterd
geluydt	geluid
geloovigen	gelovigen
gelijckheyt	gelijkheid
gelevert	geleverd
geleent	geleend
gekrijcht	gekrijgd
gekloven	gekliefd
gekastijdt	gekastijd
gehuyl	gehuil
geheelick	geheel
gegraveert	gegraveerd
geeyscht	geëist
gedruysch	gedruis
gedoodde	gedoden
gedocht	gedacht
gedichtsel	gedichtsel
gecruycight	gekruisigd
gebreeckt	ontbreekt
gebouws	gebouws
gebot	gebod
gebode	gebod
geblasen	geblazen
gebedts	gebeds
gebasuynt	gebazuind
gebaende	gebaande
ge-erft	geërfd
gazer	gezer
galileer	galileër
galeryen	galerijen
gabriel	gabriël
gaas	gaas
flesschen	flessen
fijnste	fijnste
feylen	feilen
festum	festus
fabelen	fabelen
eysch	eis
eyndes	einde
endy	en
end	en
enckele	enkel
elve	elven
elpenbeenen	elpenbenen
eljasibs	eljasib
elimelechs	elimelech
eliezer	eliëzer
eewicheyt	eeuwigheid
eeuwicheydt	eeuwigheid
eeuwelick	eeuwiglijk
eerstelingh	eersteling
eerbaer	eerbaar
eenighe	enige
d’eene	ene
duysternissen	duisternissen
duydelick	duidelijk
dul	dol
druyve	druif
droppelen	druppelen
drooms	drooms
dronckenschap	dronkenschap
dronckaert	dronkaard
droevigh	droevig
drijvers	drijvers
drie-ende-twintich	drie_en_twintig
dorscht	dorst
dorschen	dorsen
dorsch-vloers	dorsvloers
dorpelen	dorpelen
dopte	doopte
doppen	dopen
doorsocht	doorzocht
doorloutert	doorlouterd
doorginck	doorging
doopers	doper
doopende	dopende
doolen	dolen
doodinge	doding
doncker	donker
doet’et	doet
docht	dacht
die’se	die_ze
dienst-maeght	slavin
derdendeel	derde_deel
derben	derbe
dennen	dennen
dencket	denkt
daniten	danieten
danckte	dankte
danckt	dankt
danckseggingen	dankzeggingen
danckende	dankende
dal-poorte	dalpoort
daer-en-tegen	daarentegen
daelt	daal
dachlooner	dagloner
dach-reysen	dagreizen
d'overhant	de_overhand
cyther	citer
cuschan	cuschan
crijchs-lieden	krijgslieden
conincklicken	koninklijken
conden	konden
conde	kon
climt	klimt
clappen	klappen
clam	klom
cierlick	sierlijk
celosyrien	celo-syrië
castijdt	kastijdt
canaaniter	kanaäniet
cana	kana
bruyne	bruine
broederlicke	broederlijke
breet	breed
brandinge	branding
bouweden	bouwden
bouwede	bouwde
boecxken	boeksken
blyven	blijven
bloote	blote
bloetschult	bloedschuld
bloet-vrient	bloedvriend
bloet-stadt	bloedstad
bloedts	bloeds
blincken	blinken
blaren	blaren
bitteren	bitteren
bewijsende	bewijzende
beweechde	bewoog
betuygt	betuigd
betrouw	betrouw
betoonen	betonen
bethlehems	bethlehems
betamelick	betamelijk
betaemde	betaamde
besworen	bezworen
besweeringe	bezwering
bestraffe	bestraffe
bespreng-beckens	besprengbekkens
bespott	bespot
besoeckt	bezoekt
besluyten	besluiten
besitt	bezit
besiet	beziet
besich	bezig
beschickte	beschikte
beschaemtheyt	beschaamdheid
besaten	bezaten
bersten	bersten
berouwt	berouwt
beraetslaegt	beraadslaagd
benjaminiten	benjaminieten
beneerstight	benaarstig
benauwinge	benauwing
benaeuwen	benauwen
bemercken	bemerken
beletten	beletten
belachten	belachten
bekeere	bekere
bejegent	bejegend
behoedde	behoedde
behaeghde	behaagde
behaecht	behaagt
begost	begon
beelts	beeld
beelde	beeld
bedrochs	bedrogs
bediene	bediene
becommert	bekommert
becommernisse	bekommernis
becomen	bekomen
becken	bekken
bath-seba	bathseba
barvoets	barrevoets
bad-water	badwater
backer	bakker
back-tanden	baktanden
baana	baäna
baal-perazim	baäl-perazim
avont-offer	avondoffer
assurs	assur
artaxerxis	artaxerxes
arm-ringen	armringen
arbeyder	arbeider
arbeyde	arbeide
apollo	apollos
angel	angel
ampten	ambten
als’t	als
alpha	alfa
allesins	alleszins
alhoewel	alhoewel
alderkonstelicxte	allerkunstelijkste
ahohiter	ahohiet
ahitubs	ahitub
afwijckt	afwijkt
afwijcke	afwijke
afvalligh	afvallig
afschouwelicke	afschuwelijke
afrucken	afrukken
afkeeringen	afkeringen
afkeeringe	afkering
afkeerige	afkerige
afkeerich	afkerig
afgrondt	afgrond
afgrijselicken	afgrijselijken
afgoden-offer	afgodenoffer
afgoden-dienaers	afgodendienaars
afgeweecken	afgeweken
afgesonderde	afgezonderde
afgesonden	afgezonden
afgekeerde	afgekeerde
afganck	afgang
af-eten	afeten
aertbodem	aardbodem
aerdrijcx	aardrijks
aenstoots	aanstoots
aensienlicke	aanzienlijke
aensie	aanzie
aenschouwet	aanschouwt
aenriep	riep
aenraken	aanraken
aenmercken	aanmerken
aenkomste	aankomst
aenghesichte	aangezicht
aengeschreven	aangeschreven
aengenaemheyt	aangenaamheid
aengedreven	aangedreven
aengaen	aangaan
aenbidde	aanbidde
achtervolgens	achtervolgens
achtertocht	achtertocht
achterhaelden	achterhaalden
achitophels	achitofel
abners	abners
abjathars	abjathar
abja	abia
abinadabs	abinadab
zuyder-poorte	zuiderpoort
zuri	van
zuph	zuf
zorobabel	zorobabel
zijdkamer	zijkamer
zijd-posten	zijposten
ziin	zijn
zibia	zibja
zibeons	zibeon
zeyl	zeil
zecharia	zecharja
zatthu	zatthu
zarphath	zarfath
zandt	zand
zale	zaal
zaet-zaeyende	zaadzaaiende
zaccur	zakkur
zabulon	zebulon
yvers	ijvers
yver-geest	ijvergeest
yemandts	iemands
wy’t	wij
wyde	wijde
wort’er	wordt_er
woonachtich	woonachtig
wonderlicke	wonderlijke
wonderbaerlick	wonderbaarlijk
wonder-teeckenen	wondertekenen
wonder-teecken	wonderteken
woeste-plaetsen	woeste_plaatsen
woelachtich	woelachtig
woeckeren	woekeren
wisselaers	wisselaars
wildt	wild
wildese	wilde_hen
wijdt	wijd
wieroock-vat	wierookvat
wicken	wikken
weydt	weidt
weydde	weidde
wervelwint	wervelwind
werter	werd_er
werpt’se	werpt_ze
werpte	werpte
werpense	werpen_ze
werdt	werd
werckmeester	werkmeester
werckingen	werkingen
werck-meester	werkmeester
werck-loon	werkloon
wenschte	wenste
wende	wende
wendden	wendden
welvaren	welvaren
welp	welp
welgeluckich	welzalig
weldaet	weldaad
welbehagelick	welbehagelijk
wel-lusten	wellusten
wel-gelucksalich	welzalig
weert	weer
weerderen	waarderen
weechschale	weegschaal
weech-steen	weegsteen
weduw-vrouwe	weduwvrouw
wederpartye	wederpartij
wederpartyders	tegenstanders
wederhoudt	wederhoudt
wederhouden	wederhouden
wederhalen	wederhalen
weder-roepen	wederroepen
weckte	wekte
wechtrecken	wegtrekken
wechgevoerden	weggevoerden
wechgevaren	weggevaren
wechgeraept	weggeraapt
wechgeleyt	weggelegd
wechgedaen	weggedaan
wechgaen	weggaan
wech-rapen	wegrapen
wech-gevoerde	weggevoerden
wech-geleyt	weggelegd
watervloet	watervloed
waterstroomen	waterstromen
water-wellingen	waterwellingen
water-tochten	watertochten
water-stroom	waterstroom
water-putters	waterputters
water-fonteyne	waterfontein
wasschet	wast
wassche	wasse
warense	waren_zij
wapen-rustinge	wapenrusting
wanneermen	wanneer_men
wandelaer	wandelaar
waket	waakt
wagen-burch	wagenburg
waeyen	waaien
waerseggen	waarzeggen
waeckte	waakte
waeckende	wakende
waecke	wake
wachtet	wacht
wachteden	wachtten
wachtede	wachtte
vyerigen	vurigen
vyeren	vieren
vyandschap	vijandschap
vuyst	vuist
vuyle	vuile
vullet	vult
vrygemaeckt	vrijgemaakt
vryelick	vrijelijk
vrolicken	vrolijken
vrolicke	vrolijke
vrolick-huppelende	vrolijk_huppelende
vroegh	vroeg
vriendelijck	vriendelijk
vreughd	vreugde
vreuchden-gesanck	vreugdegezang
vremdt	vreemd
vreeslicken	vreselijken
vreeselicke	vreselijke
vreemder	vreemde
vreemdelincks	vreemdelings
vrede-genooten	vredegenoten
vraet	vraat
vorstelick	vorstelijk
voorwaerts	voorwaarts
voortreffelicxte	voortreffelijkste
voortquam	voortkwam
voortbrenght	voortbrengt
voortbrengende	voortbrengende
voort-gekomen	voortgekomen
voort-brengt	voortbrengt
voorspoedichlick	voorspoediglijk
voorsichtichlick	voorzichtiglijk
voorneemsten	voornaamsten
voorhuyden	voorhuiden
voorhooft-cierselen	voorhoofdsierselen
voorhanghsel	voorhangsel
voorgaenden	voorgaande
voorgaen	voorgaan
voorbygaen	voorbijgaan
voorbeelt	voorbeeld
voor-hooft	voorhoofd
voor-by	voorbij
vonnisse	vonnis
voltrecken	voltrekken
voller	volle
volherdt	volhard
volherdende	volhardende
volherden	volharden
volget	volgt
vogelken	vogeltje
vogel-geschrey	vogelgeschrei
voetvolcks	voetvolks
voet-sole	voetzool
voester-heeren	voedsterheren
voerdense	voerden_ze
voeght	voegt
voege	voege
vochticheyt	vochtigheid
vlytigen	vlijtigen
vlytichlick	vlijtiglijk
vluchtet	vlucht
vloedt	vloed
vleyingen	vleierijen
vleyende	vleiende
vlercken	vlerken
vleeschelicke	vleselijke
vlammich	vlammig
vlade	vlade
vlack	vlak
vijg-boomen	vijgebomen
viercantich	vierkant
vier-ende-vijftich	vier_en_vijftig
vianden	vijanden
veynsden	veinsden
verydelt	verijdeld
verworpelick	verwerpelijk
verwondet	verwond
verwonderende	verwonderende
verwoestinghe	verwoesting
verwijden	verwijden
verwerret	verward
verwen	verven
verwelfsel	verwelfsel
verwelckert	verwelkt
vervremt	vervreemd
vervolghde	vervolgde
vervolchden	vervolgden
vervolchde	vervolgde
vervoegen	vervoegen
vervloten	vervloten
vertrouwende	vertrouwende
vertraden	vertraden
vertoorndet	vertoorndet
versweeringe	verzwering
verswaerde	verzwaarde
versuymt	verzuimd
verstroydese	verstrooide_hen
verstootene	verstotene
verstickten	verstikten
verstickte	verstikte
versterckende	versterkende
verstandeloosen	verstandeloze
verstaken	verstaken
verstae	versta
verspreydden	verspreidden
verspiedt	verspied
versoeningen	verzoeningen
versoendach	verzoendag
versoecke	verzoeke
versmolten	versmolten
versmelte	versmelte
versmaedde	versmaadde
versekeringe	verzekering
versegelde	verzegelde
verschrickelicke	verschrikkelijke
verschrickede	verschrikte
verscheydenheyt	verscheidenheid
verrijckt	verrijkt
veroudet	verouderd
verontreynichden	verontreinigden
vernieuwinge	vernieuwing
verneemt	verneemt
vernachtede	vernachtte
vermoeyde	vermoeide
vermocht	vermocht
vermits	vermits
vermakinge	vermaking
vermaert	vermaard
vermach	vermag
verlusten	verlustigen
verlenginge	verlenging
verlatenen	verlatene
verkortet	verkort
verkoopinge	verkoping
verkoopers	verkopers
verkooper	verkoper
verkochtse	verkocht_hen
verklaerden	verklaarden
verhouwen	verhouwen
verhoore	verhore
verholen	verholen
verhitt	verhit
verhevenen	verhevenen
verheerlijckende	verheerlijkende
verheerlickte	verheerlijkte
verhardinge	verharding
vergramt	vergramd
vergietet	vergiet
vergete	vergete
vergeselschapte	vergezelschapte
vergeselschapt	vergezelschapt
vergaderende	vergaderende
vergaderdese	vergaderde_hen
verfoeyelick	verfoeilijk
verdruckende	verdrukkende
verdrijftse	verdrijft_hen
verdraeyen	verdraaien
verdraeghlicker	verdragelijker
verdraechsaemheyt	verdraagzaamheid
verdoe	verdoe
verdervende	verdervende
verderflicke	verderfelijke
verderffelick	verderfelijk
verderfenisse	verderfenis
vercort	verkort
vercondigende	verkondigende
verclaert	verklaar
vercieringe	versiering
verbryselt	verbrijzeld
verbryselen	verbrijzelen
verbrijselen	verbrijzelen
verbrijselde	verbrijzelde
verbrandinge	verbranding
verborgenen	verborgen
verbolgentheden	verbolgenheden
verblijdende	verblijdende
verbintenissen	verbintenissen
verbeydt	verbeid
verbeteringe	verbetering
verbergende	verbergende
veranderende	veranderende
verachtsaem	verachtzaam
verachteden	verachtten
venijn	venijn
velerley	velerlei
veertichste	veertigste
veelvoudich	veelvoudig
vedele	vedel
vattet	vat
vanck	vangst
valschen	valsen
uzziëls	uzziël
uytwierp	uitwierp
uytvercorenen	uitverkorenen
uyttreckt	uittrekt
uyttoocht	uittoogt
uytstreckte	uitstrekte
uytstooten	uitstoten
uytspruytsel	uitspruitsel
uytspreydinge	uitspreiding
uytsprake	uitspraak
uytsondt	uitzond
uytleyde	uitlegde
uytlaten	uitlaten
uytlantsche	uitlandse
uythelper	uithelper
uythelpen	uithelpen
uythalen	uithalen
uytgewortelt	uitgeworteld
uytgewischt	uitgewist
uytgeven	uitgeven
uytgestooten	uitgestoten
uytgespannen	uitgespannen
uytgenomen	uitgenomen
uytgeholpen	uitgeholpen
uytgeeft	uitgeeft
uytgedroocht	uitgedroogd
uytgebroken	uitgebroken
uytgebott	uitgebot
uytbreken	uitbreken
uyt-trocken	uittrokken
uyt-geleydt	uitgeleid
uwen’t	uwentwil
uwen't	uwentwil
t’samen-comste	ontmoeting
t’ondergebracht	ten_ondergebracht
tychicus	tychikus
twist-water	twistwater
twijfelmoedigh	twijfelmoedig
twerck	werk
tweedemael	tweede_maal
twee-ende-tseventich	twee_en_zeventig
twee-en-tsestich	twee_zestig
tuchtinge	tuchtiging
tuchticht	tuchtigt
tsilver	zilver
troostet	troost
trockse	trok_ze
treuringe	treuring
topaz	topaas
toonbrooden	toonbroden
toomen	tomen
toevloeyen	toevloeien
toesluyt	toesluit
toeschicken	toeschikken
toekomenden	toekomenden
toegevoegt	toegevoegd
toegeseght	toegezegd
toeganck	toegang
toegaet	toe_gaat
toebereyt	toebereid
toe-gesloten	toegesloten
toe-gebracht	toegebracht
to	tot
titi	titus
tijdinge	tijding
tienen	tienen
tichel-oven	ticheloven
thyatiren	thyatire
thummim	thummim
thoï	thoi
thomam	thomas
thien	tien
thessalonicensen	thessalonicensen
thekoa	thekoa
thebez	thebez
thathnai	thathnai
thalmai	thalmai
thaanach	thaanach
tgetal	getal
tgeluyt	geluid
terstondt	meteen
terginge	terging
tepelen	tepelen
tellinge	telling
tegenpartye	tegenpartij
tegenpartyder	tegenpartijder
tegenpartijder	tegenpartijder
tegen't	tegen
teenen	tenen
teenemael	te_enen_male
teedere	tedere
teeckent	tekent
teeckens	teken
tast	tast
tarwen-oogst	tarweoogst
tarwen	tarweoogst
t'samenroepinge	samenroeping
t'allen	te_allen
syn	zijn
swijght	zwijg
swijget	zwijgt
sweven	zweven
swervende	zwervende
swerft	zwerft
sweet-doeck	zweetdoek
sweet	zweet
swaricheyt	zwarigheid
suygelinck	zuigeling
sundtvloet	zondvloed
stuck-wercks	stuk_werks
stroyt	strooit
stroyen	strooien
strijdtbare	strijdbare
strijcken	strijken
stootet	stoot
stonck	stonk
stincken	stinken
stillekens	stilletjes
stilde	stilde
stephanum	stefanus
steltse	stel_ze
stellende	stellende
stele	stele
steldet	steldet
steke	steke
steen-uyl	steenuil
steen-rotze	rots
stanck	stank
stadts	stadspoort
stadt-poorte	stadspoort
sprongh	sprong
spronck	sprong
sprinck-haen	sprinkhaan
spreydt	spreidt
spreydde	spreidde
spreeckwoorden	spreekwoorden
sprancken	spranken
spottende	spottende
spongie	spons
spijsde	spijsde
sperwer	sperwer
spelte	spelt
speelden	speelden
spannet	spant
spannende	spannende
spaert	spaar
spade	spade
soud’ick	zou_ik
sorgeloos	zorgeloos
soogenden	zogenden
soogelingen	zuigelingen
soodanige	zodanigen
sondiget	zondigt
sondichde	zondigde
sonderen	zonderen
sobals	sobal
snoerkens	snoertjes
smelt-kroes	smeltkroes
smadet	smaadt
sluysen	sluizen
slockt	slokt
slinger-steenen	slingerstenen
slincx	links
slinckeren	linker
slincker-[hant	linker_hand
slaeps	slaaps
slaep-stede	slaapstede
slachte	slachte
slacht-schapen	slachtschapen
sisinnes	sisinnes
sina	sinaï
simeoniten	simeonieten
sieden	zieden
siddim	siddim
sickelen	sikkel
seïrs	seir
seventiende	zeventiende
sevene	zeven
seven-gesternte	zevengesternte
seven-en-twintichste	zeven_en_twintigste
seven-en-twintich	twintig
ses-ende-vijftich	zes_en_vijftig
sendt-brief	zendbrief
senaa	senaa
segghen	zeggen
segelen	zegelen
segel-graveringe	zegelgravering
sedeur	sedeur
sebuël	sebuël
schuyfuyt	schuifuit
schuldenaer	schuldenaar
schuddeden	schudden
schuddede	schudde
schriftelick	schriftelijk
schrift-geleerden	schriftgeleerde
schrickt	schrikt
schricklick	schrikkelijk
schricken	schrikken
schrickelicke	schrikkelijke
schreyen	schreien
schreeuwe	schreeuw
schreefse	schreef_ze
schotelen	schotelen
schoonste	schoonste
schoefelen	schoffelen
schielick	schielijk
scheurende	scheurende
schendelick	schandelijk
scheminith	scheminith
schellekens	schelletjes
scheer-mes	scheermes
scheepten	scheepten
scheepken	scheepje
schattingen	schattingen
schatte	den_schat
schatsteden	schatsteden
schatmeesters	schatmeesters
schat-steden	schatsteden
schat-huyse	schathuis
schandelick	schandelijk
schaeps-poorte	schaapspoort
schaeps-koye	schaapskooi
saulum	saulus
sathrabusanes	sathrabusan
sardonix	sardonix
saphyr	saffier
saphats	safat
sanheribs	sanherib
samenroepinge	samenroeping
samencomste	ontmoeting
samen-voeginge	samenvoeging
samellius	samellius
samarja	samaria
samaritaen	samaritaan
saligheydt	zaligheid
saddai	zurisaddai
sacks	zaks
sachtmoedicheydt	zachtmoedigheid
sachtmoedich	zachtmoedig
saaraim	saaraim
ryden	rijden
rupse	rups
rouwklage	rouwklage
rouw-klagen	rouwklagen
rouw-clage	rouwklage
rotten	rotten
rootachtich	roodachtig
roof-vogelen	roofvogelen
rondtom	rondom
rijm	rijm
richtende	richtende
richt-huys	rechthuis
rheen	reeën
reys-kost	reiskost
reynichden	reinigden
reye	rei
rey	rei
reuckwerk	reukwerk
reuck-wercks	reukwerks
reten	reten
rephaiten	refaieten
rent-meester	rentmeester
rehuëls	rehuël
rechtveerdight	rechtvaardigt
rechtveerdigende	rechtvaardigende
rechtveerdicht	rechtvaardigt
rechtsake	rechtzaak
rechteren	rechtervoet
rathymus	rathymus
ramsbasuynen	ramsbazuinen
rakende	rakende
raetslieden	raadslieden
raest	raast
radet	raadt
qualen	kwalen
prophetien	profetieën
propheterende	profeterende
profijt	voordeel
prijsende	prijzende
priester-rocken	priesterrokken
prickelen	prikkelen
predike	predik
potte-backer	pottenbakker
plucken	plukken
plonderinge	plundering
plantet	plant
pinne	pin
pijle	pijl
phinees	pinehas
philistinen	filistijnen
philippo	filippus
philippis	filippi
pheriziten	ferezieten
petro	petrus
petre	petrus
pestilentien	pestilentien
pers-kuype	perskuip
perikel	gevaar
pergen	perge
perck	perk
penningh	penning
penne	pen
peloniter	peloniet
peck	pek
paule	paulus
pantsier	pantsier
pamphylien	pamfylië
palmtacken	palmtakken
paesch-offeren	paasofferen
packen	pakken
oylammeren	ooilammeren
overvloets	overvloeds
overvloedigen	overvloedigen
overvloedelijck	overvloediglijk
overtredet	overtreedt
overtredende	overtredende
overtreckt	overtrekt
overtradt	overtrad
overtogen	overtogen
overspelen	overspelen
overspeelderssen	overspeelsters
overleyde	overleide
overlevere	overlevere
overledene	overledenen
overkome	overkome
overheyt	overheid
overgelatene	overgelatene
overgecomen	overkomen
overgaet	overgaat
overdeckten	overdekten
overcomen	overkomen
over-comen	overkomen
ouderlingh	ouderling
othniel	othniël
ordinantien	ordinantien
order	orde
opwegen	opwegen
opwecke	opwekke
opwassen	opwassen
opvoerde	opvoerde
opsiende	opziende
opsamelen	opzamelen
oprijsen	oprijzen
oprichte	opricht
oprechtelick	oprechtelijk
oplesen	oplezen
oplegginge	oplegging
opgerichtte	opgerichte
opgelegt	opgelegd
opgelecht	opgelegd
opbouwinge	opbouwing
op-geweckt	opgewekt
op-geleyt	opgelegd
op't	op
ootmoedigheyt	ootmoedigheid
oost-zee	oostzee
oordeelende	oordelende
oorblasers	oorblazers
oor-cierselen	oorsierselen
onwijsheyt	onwijsheid
onweert	onwaard
onuytsprekelijcke	onuitsprekelijke
ontuchticheden	ontuchtigheden
onttrocken	onttrokken
ontstont	ontstond
ontstolen	ontstolen
ontstekinge	ontsteking
ontsien	ontzien
ontschuldich	onschuldig
ontruckt	ontrukt
ontreynicht	ontreinigt
ontreckt	onttrekt
ontquamen	ontkwamen
ontledigen	ontledigen
onthooft	onthoofd
ontgaen	ontgaan
ontferme	ontferme
ontdeckten	ontdekten
ontdeckte	ontdekte
ontbiedt	ontbied
ontallicke	ontelbare
onstraffelick	onstraffelijk
onsterffelickheyt	onsterfelijkheid
onsteken	ontstoken
onschult	onschuld
onruste	onrust
onrechtveerdigen	onrechtvaardigen
onrechtveerdich	onrechtvaardig
onmogelijck	onmogelijk
onmacht	onmacht
ongewasschen	ongewassen
ongestuymicheyt	onstuimigheid
ongeregelt	ongeregeld
ongerechtichheyt	ongerechtigheid
ongeloovigh	ongelovig
ongeloovich	ongelovig
ondeucht	ondeugd
onderwonden	onderwonden
ondervragende	ondervragende
ondervraeght	ondervraagd
ondersteune	ondersteune
onderscheydinge	onderscheiding
onderhoudinge	onderhouding
ondergebracht	ondergebracht
onderdrucker	onderdrukker
onbevleckt	onbevlekt
onberispelijck	onberispelijk
om’t	om
omringende	omringende
omgetogen	omgetogen
omgegaen	omgegaan
omganck	omgang
oly-kruycke	oliekruik
olijfboomen	olijfbomen
olijf-gaerden	olijfgaarden
olijf-bergh	olijfberg
ogs	og
ofse	of_zij
nydicheyt	nijdigheid
nuns	nun
noorder	noorderland
noemdese	noemde_ze
nietich	nietig
niemants	niemands
neygden	neigden
neve	neef
nethania	nethanja
nemuël	nemuël
nemmermeer	nimmermeer
negentich	negentig
neerstichlick	naarstiglijk
nederwerpinge	nederwerping
nedersittende	nederzittende
nederlage	nederlaag
nedergevallen	nedergevallen
nedergekomen	nedergekomen
nederdalende	nederdalende
nederdaelt	nederdaalt
nederbucken	nederbukken
neder-dalende	nederdalende
navolcht	navolgt
navolchde	navolgde
natuerlijcke	natuurlijke
nasprake	naspraak
naphis	nafis
namaels	namaals
naloopen	nalopen
nalesinge	nalezing
najaecht	najaagt
nagegaen	nagegaan
naemt	naamt
naeme	naam
naemde	noemde
naelde	naald
naederdet	naderdet
nae-bueren	naburen
nachtuyl	nachtuil
naasson	nahasson
naara	naära
naama	naäma
na-wandelen	nawandelen
na-gras	nagras
muyl-eselinne	muilezelin
mussche	mus
musicale	muzikale
murmureren	murmureren
muers	muurs
morsel	morzel
morgenstondt	morgenstond
moort	moord
moorenlant	morenland
moordenaren	moordenaren
moocht	moogt
mondts	mond
moget	moogt
mogentheyt	mogendheid
moeye	moei
moes	moes
moedt	moed
misdaen	misdaan
mileten	milete
midians	midian
middaghmael	middagmaal
michaëls	michaël
meysken	meisje
meulensteen	molensteen
meulens	molens
meulen	molen
metet	meet
menichten	menigten
melcks	melk
melchisedecs	melchizedek
melchisedecks	melchizedek
melchisedeck	melchizedek
melchias	melchias
meerderen	meerderen
medegenooten	medegenoten
medecijn-meester	medicijnmeester
mede-genooten	medegenoten
mattheus	mattheüs
mathanja	mattanja
malkandren	elkaar
magerheyt	magerheid
maents	maand
maenkens	maantjes
maegschap	maagschap
macedoniers	macedoniërs
luye	luie
lucas	lukas
los-gelt	losgeld
loosen-kalcke	loze_kalk
looper	loper
loons	loons
lofsanck	lofzang
lof-singen	lofzingen
lof-sanck	lofzang
loech	lachte
locken	lokken
linsen	linzen
lieflickheden	liefelijkheden
lieflicker	aangename
liefhebbende	liefhebbende
liedekens	liederen
lichtelicker	lichter
lichtelick	lichtelijk
leytslieden	leidslieden
leugen-sprekers	leugensprekers
leugen-geest	leugengeest
lenghte	lengte
leght	legt
leende	leunde
leeder	ladder
leder-bereyder	lederbereider
leckernyen	lekkernijen
leas	lea's
lasteraers	lasteraars
lantvooghden	landvoogden
lantvoogden	landvoogden
langde	langde
landt-man	landman
landouwe	landouwe
laet'se	laat
kuylen	kuilen
kruyt-worm	kruidworm
kruydeniers	kruideniers
kruyden	kruiden
kruycigen	kruisigen
krijcht	krijgt
krijchsvolck	krijgsvolk
krijchs-man	krijgsman
krijchs-geschrey	krijgsgeschrei
krijchs	krijgs
krantsen	kransen
kraeyde	kraaide
koye	kooi
kostelickheyt	kostelijkheid
kostelickheden	kostelijkheden
kortse	koorts
koren-mate	koornmaat
koophandels	koophandels
koopet	koopt
koop-brief	koopbrief
kool-pannen	koolpannen
koockten	kookten
konste	kunst
konne	kunne
koninckrijck	koninkrijk
kondet	kondet
komste	komst
kofferken	koffertje
koecxkens	koekjes
knagende	knagende
kluyten	kluiten
kloecksinnicheyt	kloekzinnigheid
klincken	klinken
klimmet	klimt
klaegliedt	klaaglied
klaechlick	klagelijk
kiriathaim	kirjathaim
kints-kinderen	kindskinderen
kindts	kinds
kijfachtige	kijfachtige
kibroth-taava	kibroth-thaava
kever	kever
keniters	keniet
keniter	keniet
kehath	kehath
kedorlaomer	kedor-laomer
kastijdt	kastijdt
kalck	kalk
kahaths	kahath
jocken	jukken
jaget	jaagt
jage	jaag
jaegdese	jaagde
jaegden	jaagden
jaechdese	jaagde_hen
jacht-garen	jachtgaren
izhariten	jizharieten
iuycht	juicht
iustus	justus
iude	judas
isse	is_zij
israëlitischer	israëlietische
israëlijt	israëliet
ioëls	joël
iozadak	jozadak
iosedeck	josedek
iosadaks	jozadak
iokneam	jokneam
iohanans	johanan
ioha	joha
iodische	joodse
ioanni	johannes
inwijinge	inwijding
insonderheyt	inzonderheid
insetten	inzetten
insamelinge	inzameling
innewaert	inwaarts
ingewyet	ingewijd
ingewants	ingewands
ingestelt	ingesteld
ingesetene	ingezetenen
ingesamelt	ingezameld
ingeboren	ingeborene
indien’t	als
incomen	inkomen
impost	impost
iissija	jissia
iibleam	jibleam
iesse	jessai
ieremja	jeremia
ierahmeël	jerahmeel
iekamja	jekamja
iebusiters	jebusiet
idumeen	idumeeërs
ick'se	ik_hen
iasub	jasub
iarib	jarib
iahza	jahza
iahaz	jahaz
iaddua	jaddua
iabez	jabez
iaazanja	jaazanja
huysgenooten	huisgenoten
huylt	huilt
huyden	heden
huychelaer	huichelaar
huy	hui
huerlingen	huurlingen
houwelicken	huwelijken
houweelen	houwelen
houts	houts
hout-houwers	houthouwers
horselen	horzelen
horoniter	horoniet
hooveerdigen	hovaardigen
hooghsten	hoogste
hooghste	hoogste
hooge-priesters	hogepriesters
hooftlieden	hoofdlieden
hooft-vorst	hoofdvorst
hooft-somme	hoofdsom
hoochmoedige	hoogmoedige
hollicheyt	holligheid
hoererien	hoererijen
hoereerder	hoereerder
hoeck-berderen	hoekberderen
hittige	hittige
hittichlick	hittiglijk
hinckende	hinkende
heyr-legers	heirlegers
