hy	hij
ephraim	efraïm
eenes	van_een
assyrien	assyrië
strijt	strijd
ontrent	ongeveer
vreemdelinck	vreemdeling
velts	veld
togen	trokken
comen	komen
breette	breedte
boose	boze
heylichdom	heiligdom
godtloosen	goddelozen
gebedt	gebed
kint	mensenkind
versoeninge	verzoening
uyre	uur
ingaen	ingaan
heylicheyt	heiligheid
wooninge	woning
levendich	levend
baerde	baarde
ydelheyt	ijdelheid
sweerde	zwaard
genen	dengenen
antwoordende	antwoordde_en
yegelijck	ieder
wolcke	wolk
phariseen	farizeeën
christum	christus
aengesichten	aangezichten
tgene	wat
offerhande	offergave
laetste	laatste
gewelt	geweld
beke	beek
wijse	wijze
vrolick	vrolijk
staende	staande
leyde	legde
voorsteden	weidegronden
teeckenen	tekenen
heyl	heil
haerlieder	hun
bedeckt	bedekt
wagenen	strijdwagens
vroech	vroeg
verwoestinge	verwoesting
stille	stil
soeckt	zoekt
hooret	hoort
handt	hand
zuyden	zuiden
sagh	zag
sabbath	sabbat
jongelingen	jongemannen
gener	van_hen
d	de
chaldeen	chaldeeën
canaan	kanaän
bereydt	bereid
sitten	zitten
leeren	leren
hope	hoop
dinck	ding
dewelcke	die
daniel	daniël
bereyden	bereiden
waert	was
plage	plaag
gedaente	gedaante
behalven	behalve
vleugelen	vleugels
varre	jonge_stier
oore	oor
gecomen	gekomen
geboodt	gebood
drye	drie
deses	van_dit
brooden	broden
weldadicheyt	goedertierenheid
gode	god
gevanckelick	gevankelijk
gelijckenisse	gelijkenis
conincx	koning
bestaen	bestaan
wint	wind
uytgeroeyt	uitgeroeid
stercke	sterke
soudet	zou
selver	derzelver
optrecken	optrekken
ghy-lieden	u
getuygen	getuigen
gereetschap	voorwerpen
boosheyt	boosheid
alleenlick	alleen
tseventich	zeventig
syrien	syrië
mans	man
maenden	maanden
gesondicht	gezondigd
badt	bad
onser	onze
getelde	getelden
euangelium	evangelie
doode	dode
verbonts	verbond
sond-offer	zondoffer
sikelen	sikkel
landt	land
kleyn	klein
kennisse	kennis
genesen	genezen
gelooven	geloven
gehoorsaem	gehoorzaam
ephraims	efraïm
vergadert	vergaderd
stucken	stukken
schaduwe	schaduw
rechtveerdigen	rechtvaardigen
laetse	laat_hen
hyse	hij_hen
huysgesinnen	geslachten
doots	dood
amoriten	amorieten
waerachtich	waarachtig
schaemte	schaamte
geopenbaert	geopenbaard
gekent	gekend
bloedt	bloed
benjamins	benjamin
acker	akker
vleesche	vlees
twelck	dat
opgeweckt	opgewekt
malkanderen	elkaar
iosaphat	josafat
grouwel	gruwel
goudene	gouden
erflick	in_bezit
eener	van_een
cracht	kracht
buyck	buik
syriers	syriërs
monde	mond
malcanderen	elkaar
gebaert	gebaard
overtredinge	overtreding
keeren	keren
jongelinck	jongeman
godtloose	goddelozen
gehadt	gehad
settede	zette
segenen	zegenen
outsten	oudsten
moabiten	moabieten
ioannes	johannes
inwoonderen	inwoners
dienstmaecht	slavin
swaer	zwaar
iacobs	jakob
gevogelte	vogels
geopent	geopend
eygen	eigen
decksel	deksel
besitten	bezitten
arbeyt	arbeid
samen-komste	ontmoeting
hares	hun
gae	ga
vyant	vijand
kleet	kleed
ioas	joas
heerschen	heersen
grouwelen	gruweldaden
gebreck	gebrek
droncken	dronken
beelt	beeld
trock	trok
kinderkens	kleine_kinderen
esau	ezau
canaaniten	kanaänieten
vondt	vond
rechtveerdige	rechtvaardige
outste	oudsten
naederen	naderen
iericho	jericho
geschiedenissen	geschiedenis
deselve	die
sal’t	zal
niete	niet
krijch	oorlog
genoemt	genoemd
geluyt	geluid
gedencken	gedenken
dry	drie
derden	derde
basuyne	bazuin
weyden	weiden
versamelt	verzameld
sullense	zullen_zij
sie	zie
kuyl	kuil
doende	doende
gewandelt	gewandeld
gedachtenisse	gedachtenis
boomen	bomen
barmherticheyt	barmhartigheid
wijsen	wijzen
vloeck	vloek
vervloeckt	vervloekt
verdruckinge	verdrukking
veelheyt	veelheid
rechterhant	rechterhand
mane	maan
iosephs	jozef
iehu	jehu
genadich	genadig
can	kan
boge	boog
vreuchde	vreugde
vergaderen	vergaderen
uyterste	uiterste
scharen	menigte
lanck	lang
koorn	koren
heylichdoms	heiligdom
gantschelick	ganselijk
duysenden	duizenden
desgelijcks	desgelijks
zade	zaad
wasschen	wassen
salmen	zal_men
openbaer	openbaar
insettinge	verordening
erve	erfelijk_bezit
coninckrijcken	koninkrijken
wijngaert	wijngaard
waerlick	werkelijk
sullet	zult
sondigen	zondigen
leyden	leiden
jock	juk
ierobeam	jerobeam
hulpe	hulp
heerschappye	heerschappij
haestelick	haastelijk
deelen	delen
wegh	weg
verteeren	verteren
verstroyt	verstrooid
tsestich	zestig
stercken	sterken
rijckdom	rijkdom
pharaos	farao's
opgestaen	opgestaan
levendigen	levenden
iojada	jojada
ickse	ik_hen
hayr	haar
gesont	gezond
gerichte	gericht
comt	komt
wolcken	wolken
verwecken	verwekken
segget	zegt
nae’t	naar
mueren	muren
iob	job
haest	haast
gewisselick	gewisselijk
getuyge	getuige
geruchte	gerucht
gedenckt	gedenk
egyptenaers	egyptenaren
duyvel	duivel
yser	ijzer
wederspannich	ongehoorzaam
treckt	trek
salder	zal_er
osse	os
moses	mozes
geschenck	geschenk
gelijckerwijs	zoals
gedient	gediend
bewaert	bewaard
wooningen	woningen
vyers	vuur
segen	zegen
saken	zaken
rijck	rijk
rechtveerdich	rechtvaardig
raedt	raad
opper-sang-meester	koorleider
iosia	josia
cudde	kudde
aensien	aanzien
schattinge	schatting
oordeelen	oordelen
neen	nee
leere	leer
honich	honing
gewichte	gewicht
eynden	einden
egypten-lant	land_egypte
zijnse	zijn_zij
wechgenomen	weggenomen
valsche	valse
rotzsteen	rots
onschuldich	onschuldig
ongesuerde	ongezuurde
iudea	judea
dwaesheyt	dwaasheid
duyvelen	demonen
aensteken	aansteken
aende	aan_de
wordet	wordt
vloet	vloed
saligh	zalig
ontstack	ontstak
nebucadnezar	nebukadnezar
namelijck	namelijk
meerder	meerder
kemelen	kamelen
hebbet	hebt
geensins	geenszins
elle	el
coninginne	koningin
broodt	brood
brand-offeren	brandoffers
benautheyt	benauwdheid
woordt	woord
wetet	weet
weeck	week
vlacke	vlakke
versadicht	verzadigd
uytgevoert	geleid
trauwanten	lijfwacht
tacken	takken
tabernakels	tabernakel
slaep	slaap
opganck	opgang
meel-bloeme	meelbloem
liedt	lied
lieder	uw
hooge	hoge
godtloosheyt	goddeloosheid
bedecken	bedekken
allerley	allerlei
wetende	wetende
verslagene	verslagenen
versamelen	verzamelen
verreysden	braken_op
sulcx	zulks
sochten	zochten
smerte	smart
propheteren	profeteren
goeden	goeden
geleert	geleerd
bedde	bed
wijcken	wijken
wandt	wand
vrient	vriend
uytroeyen	uitroeien
ulieder	uw
sweerts	zwaard
stuck	stuk
silvere	zilveren
sevenden	zevende
sevende	zevende
schilt	schild
sangers	zangers
salicheyt	zaligheid
qualick	kwalijk
naems	naam
helle	hel
diese	die_ze
blijtschap	blijdschap
bekeeren	bekeren
bedroeft	bedroefd
vermenichvuldigen	vermenigvuldigen
spiesse	speer
silveren	zilveren
opgaen	opgaan
ongerechticheden	ongerechtigheden
mochte	mocht
midianiten	midianieten
konde	kon
heuvelen	heuvels
hef-offer	hefoffer
geset	gezet
dies	dies
alsdan	dan
wechgevoert	weggevoerd
tweeden	tweede
slaet	slaat
segende	zegende
rouwe	rouw
rontomme	rondom
mondt	mond
moeyte	moeite
melck	melk
gemengt	gemengd
gehandelt	gehandeld
geests	geest
geduerichlick	voortdurend
gads	gad
daertoe	daartoe
besoeckinge	bezoeking
verkeeren	verblijven
sack	zak
rechtveerdicheyt	rechtvaardigheid
onderhoorige	bijbehorende
kleyne	kleine
hoecken	hoeken
ghyse	gij_ze
eedt	eed
damascus	damascus
booch	boog
bocken	bokken
begeeren	begeren
altaers	altaar
wijngaerden	wijngaarden
verbolgentheyt	verbolgenheid
toorne	toorn
sweeren	zweren
simei	simeï
prijsen	prijzen
ioram	joram
ingegaen	ingegaan
ierobeams	jerobeam
haet	haat
esel	ezel
epha	efa
buyt	buit
bevesticht	bevestigd
beroert	beroerd
wierdt	werd
vlieden	vlieden
verschrickt	verschrikt
verheerlickt	verheerlijkt
schult	schuld
schuldich	schuldig
schrick	schrik
salich	zalig
pestilentie	pest
overmits	overmits
opstandinge	opstanding
onreynicheyt	onreinheid
nederdalen	neerdalen
kranck	ziek
heyren	legers
gevangene	gevangenen
gesocht	gezocht
gesalft	gezalfd
gebiede	gebied
dwaes	dwaas
dienaers	dienaars
besien	bezien
aerdbodem	aardbodem
aenschouwen	aanschouwen
